3.04465e-28

Initial statistics: 625 variables; iteration 0; function evaluation 0
Function value   3.9769573e+01; maximum gradient component mag  -5.9319e+01
Var   Value    Gradient   |Var   Value    Gradient   |Var   Value    Gradient   
  1  0.00000  2.24753e+00 |  2  0.00000  3.57158e+00 |  3  0.00000  4.84955e+00
  4  0.00000 -2.17469e+00 |  5  0.00000  1.54727e+00 |  6  0.00000 -2.68539e+00
  7  0.00000  6.15022e+00 |  8  0.00000 -5.37349e-01 |  9  0.00000 -2.01013e-02
 10  0.00000  5.02212e+00 | 11  0.00000  4.65151e+00 | 12  0.00000 -2.09386e+00
 13  0.00000 -1.06146e+00 | 14  0.00000 -3.68130e+00 | 15  0.00000  9.87521e-01
 16  0.00000  5.26593e+00 | 17  0.00000 -7.64059e+00 | 18  0.00000  2.72191e+00
 19  0.00000  3.35656e-01 | 20  0.00000  5.62383e+00 | 21  0.00000 -1.23565e+00
 22  0.00000  3.59124e+00 | 23  0.00000 -1.31782e+00 | 24  0.00000  2.46301e+00
 25  0.00000 -2.75983e+00 | 26  0.00000  7.33547e+00 | 27  0.00000  8.77367e+00
 28  0.00000 -5.93192e+01 | 29  0.00000  2.89484e+01 | 30  0.00000 -3.56102e+01
 31  0.00000  1.14405e+01 | 32  0.00000  2.11388e+01 | 33  0.00000 -9.15106e+00
 34  0.00000 -2.44304e+01 | 35  0.00000 -3.92769e+01 | 36  0.00000 -2.13507e+01
 37  0.00000 -2.83761e+01 | 38  0.00000  2.10219e+01 | 39  0.00000  5.59223e+00
 40  0.00000 -6.34297e+00 | 41  0.00000  5.24993e+00 | 42  0.00000  1.48226e+01
 43  0.00000  1.83549e+01 | 44  0.00000  1.42192e+01 | 45  0.00000 -2.32533e+01
 46  0.00000 -2.21925e+01 | 47  0.00000 -4.60416e+01 | 48  0.00000 -1.97990e+01
 49  0.00000  8.63692e+00 | 50  0.00000  3.07390e+01 | 51  0.00000 -1.59919e-01
 52  0.00000 -1.71366e+00 | 53  0.00000  2.74754e+01 | 54  0.00000 -1.39732e+01
 55  0.00000  1.60631e+01 | 56  0.00000 -5.49967e+00 | 57  0.00000 -6.44892e+00
 58  0.00000  2.78650e+00 | 59  0.00000  9.16193e+00 | 60  0.00000  1.78475e+01
 61  0.00000  1.07486e+01 | 62  0.00000  1.07648e+01 | 63  0.00000 -9.28862e+00
 64  0.00000 -5.48759e+00 | 65  0.00000  1.36196e+00 | 66  0.00000  1.95405e-01
 67  0.00000 -9.80959e+00 | 68  0.00000 -7.51722e+00 | 69  0.00000 -6.86510e+00
 70  0.00000  1.40108e+01 | 71  0.00000  8.36461e+00 | 72  0.00000  1.88332e+01
 73  0.00000  9.12693e+00 | 74  0.00000 -3.15711e+00 | 75  0.00000 -1.41577e+01
 76  0.00000  3.88957e+00 | 77  0.00000  4.97183e+00 | 78  0.00000 -2.60980e+01
 79  0.00000  1.28538e+01 | 80  0.00000 -1.60090e+01 | 81  0.00000  4.61440e+00
 82  0.00000  1.12718e+01 | 83  0.00000 -4.36999e+00 | 84  0.00000 -1.11001e+01
 85  0.00000 -1.67657e+01 | 86  0.00000 -8.59181e+00 | 87  0.00000 -1.35926e+01
 88  0.00000  9.46620e+00 | 89  0.00000  1.67021e+00 | 90  0.00000 -2.61402e+00
 91  0.00000  3.82629e+00 | 92  0.00000  4.87032e+00 | 93  0.00000  9.17586e+00
 94  0.00000  6.67059e+00 | 95  0.00000 -9.34723e+00 | 96  0.00000 -1.05216e+01
 97  0.00000 -2.00879e+01 | 98  0.00000 -9.45881e+00 | 99  0.00000  4.65730e+00
100  0.00000  1.34833e+01 |101  0.00000 -2.26572e+00 |102  0.00000 -6.18398e+00
103  0.00000  2.65238e+01 |104  0.00000 -1.46037e+01 |105  0.00000  1.73879e+01
106  0.00000 -3.33706e+00 |107  0.00000 -1.57719e+01 |108  0.00000  4.04881e+00
109  0.00000  1.06136e+01 |110  0.00000  1.45668e+01 |111  0.00000  7.19555e+00
112  0.00000  1.50939e+01 |113  0.00000 -1.05513e+01 |114  0.00000 -2.76882e+00
115  0.00000 -5.34261e-01 |116  0.00000 -5.96085e+00 |117  0.00000 -2.38711e+00
118  0.00000 -1.26938e+01 |119  0.00000 -8.60741e+00 |120  0.00000  1.05621e+01
121  0.00000  1.12479e+01 |122  0.00000  1.81420e+01 |123  0.00000  1.31255e+01
124  0.00000 -7.72980e+00 |125  0.00000 -1.36894e+01 |126  0.00000 -2.54870e+00
127  0.00000  1.00899e+00 |128  0.00000  1.11358e+01 |129  0.00000 -3.61216e+00
130  0.00000  4.98091e+00 |131  0.00000 -4.34925e+00 |132  0.00000  3.33542e+00
133  0.00000  1.79661e+00 |134  0.00000  4.87008e+00 |135  0.00000  1.09106e+01
136  0.00000  6.77333e+00 |137  0.00000  2.49481e+00 |138  0.00000 -2.74233e+00
139  0.00000 -7.36738e-01 |140  0.00000  5.15594e+00 |141  0.00000  3.27104e+00
142  0.00000 -7.78393e+00 |143  0.00000  1.92980e+00 |144  0.00000 -2.08646e-02
145  0.00000  4.07606e+00 |146  0.00000  2.56303e+00 |147  0.00000  1.14479e+01
148  0.00000 -1.36689e+00 |149  0.00000  2.86697e+00 |150  0.00000 -5.83578e+00
151  0.00000 -3.36843e-01 |152  0.00000 -2.09526e+00 |153  0.00000 -4.14096e+00
154  0.00000  1.09633e+00 |155  0.00000 -1.22404e+00 |156  0.00000  2.07108e+00
157  0.00000 -4.84652e+00 |158  0.00000  2.91635e-02 |159  0.00000 -7.82165e-01
160  0.00000 -4.75276e+00 |161  0.00000 -3.52942e+00 |162  0.00000  8.42860e-01
163  0.00000  3.37038e-01 |164  0.00000  1.58339e+00 |165  0.00000 -2.02220e+00
166  0.00000 -3.56971e+00 |167  0.00000  5.49642e+00 |168  0.00000 -2.27807e+00
169  0.00000 -4.73473e-01 |170  0.00000 -3.12084e+00 |171  0.00000  3.02859e-01
172  0.00000 -3.60034e+00 |173  0.00000  1.72271e+00 |174  0.00000 -2.65386e+00
175  0.00000  2.06846e+00 |176  0.00000  2.26839e+00 |177  0.00000  3.78386e+00
178  0.00000 -8.71682e+00 |179  0.00000  4.50896e+00 |180  0.00000 -6.08943e+00
